0	0	0	0	0.231058
0	0	0	1	0.228743
0	0	0	2	0.231657
0	0	0	3	0.235081
0	0	0	4	0.230669
0	0	0	5	0.233114
0	0	0	6	0.2325
0	0	0	7	0.230688
0	0	0	8	0.234808
0	0	0	9	0.232202
0	0	0	10	0.229744
0	0	0	11	0.233875
0	0	0	12	0.234143
0	0	0	13	0.237746
0	0	0	14	0.237428
0	0	1	0	0.231503
0	0	1	1	0.230659
0	0	1	2	0.234158
0	0	1	3	0.229343
0	0	1	4	0.229906
0	0	1	5	0.229891
0	0	1	6	0.233198
0	0	1	7	0.232371
0	0	1	8	0.230553
0	0	1	9	0.230964
0	0	1	10	0.225356
0	0	1	11	0.228864
0	0	1	12	0.236054
0	0	1	13	0.231317
0	0	1	14	0.230889
0	1	0	0	0.231558
0	1	0	1	0.230357
0	1	0	2	0.231872
0	1	0	3	0.22994
0	1	0	4	0.230027
0	1	0	5	0.233047
0	1	0	6	0.231634
0	1	0	7	0.230465
0	1	0	8	0.232143
0	1	0	9	0.233015
0	1	0	10	0.230226
0	1	0	11	0.233037
0	1	0	12	0.233151
0	1	0	13	0.233247
0	1	0	14	0.236037
0	1	1	0	0.230509
0	1	1	1	0.231168
0	1	1	2	0.230116
0	1	1	3	0.229907
0	1	1	4	0.226834
0	1	1	5	0.234735
0	1	1	6	0.232818
0	1	1	7	0.23238
0	1	1	8	0.233149
0	1	1	9	0.22968
0	1	1	10	0.229179
0	1	1	11	0.234686
0	1	1	12	0.231122
0	1	1	13	0.231157
0	1	1	14	0.240767
1	0	0	0	0.229814
1	0	0	1	0.229533
1	0	0	2	0.231334
1	0	0	3	0.230876
1	0	0	4	0.230842
1	0	0	5	0.227777
1	0	0	6	0.230636
1	0	0	7	0.234009
1	0	0	8	0.234032
1	0	0	9	0.230688
1	0	0	10	0.230694
1	0	0	11	0.230741
1	0	0	12	0.230547
1	0	0	13	0.230821
1	0	0	14	0.227002
1	0	1	0	0.233331
1	0	1	1	0.231318
1	0	1	2	0.228043
1	0	1	3	0.229782
1	0	1	4	0.231618
1	0	1	5	0.219107
1	0	1	6	0.234281
1	0	1	7	0.239589
1	0	1	8	0.229551
1	0	1	9	0.23427
1	0	1	10	0.2307
1	0	1	11	0.232764
1	0	1	12	0.235041
1	0	1	13	-1.43041
1	0	1	14	0.232647
1	1	0	0	0.234342
1	1	0	1	0.228508
1	1	0	2	0.230523
1	1	0	3	0.237916
1	1	0	4	0.234466
1	1	0	5	0.220178
1	1	0	6	0.231728
1	1	0	7	0.228756
1	1	0	8	0.23403
1	1	0	9	0.230154
1	1	0	10	0.230368
1	1	0	11	0.236764
