
	Position			X			Y			Z			Units
	WC_wire0_phys48_pos		-131.6096066		11.51434859		0.000149876		mm
	WC_wire0_phys49_pos		-53.60948822		4.690222476		0.000129946		mm
	WC_wire0_phys50_pos		24.39063024		-2.133903642		0.000110016		mm
	WC_wire0_phys51_pos		102.3907487		-8.958029763		9.0096E-05		mm
	WC_wire0_phys52_pos		180.3908671		-15.78215588		7.0166E-05		mm
	WC_wire0_phys53_pos		258.3909857		-22.606282		5.0246E-05		mm
	WC_wire0_phys54_pos		336.3911041		-29.43040812		3.0316E-05		mm
	WC_wire0_phys55_pos		414.3912226		-36.25453424		1.0386E-05		mm
	WC_wire0_phys56_pos		492.391341		-43.07866036		-9.534E-06		mm
	WC_wire0_phys57_pos		570.3914594		-49.90278647		-2.9464E-05		mm
	WC_wire0_phys58_pos		648.391578		-56.7269126		-4.9384E-05		mm
	WC_wire0_phys59_pos		726.3916964		-63.55103871		-6.9314E-05		mm
	WC_wire0_phys60_pos		804.3918149		-70.37516484		-8.9244E-05		mm
	WC_wire0_phys61_pos		882.3919333		-77.19929095		-0.000109164		mm
	WC_wire0_phys62_pos		960.3920517		-84.02341707		-0.000129094		mm
	WC_wire0_phys63_pos		-1034.314531		-90.49079597		0.000177216		mm
	WC_wire0_phys64_pos		-956.3143726		-83.66666637		0.000175366		mm
	WC_wire0_phys65_pos		-878.3142147		-76.8425368		0.000173516		mm
	WC_wire0_phys66_pos		-800.3140568		-70.01840723		0.000171666		mm
	WC_wire0_phys67_pos		-722.3138989		-63.19427766		0.000169816		mm
	WC_wire0_phys68_pos		-644.313741		-56.37014809		0.000167966		mm
	WC_wire0_phys69_pos		-566.3135831		-49.54601852		0.000166106		mm
	WC_wire0_phys70_pos		-488.3134252		-42.72188895		0.000164256		mm
	WC_wire0_phys71_pos		-410.3132673		-35.89775938		0.000162406		mm
	WC_wire0_phys72_pos		-332.3131094		-29.07362982		0.000160556		mm
	WC_wire0_phys73_pos		-254.3129515		-22.24950024		0.000158706		mm
	WC_wire0_phys74_pos		-176.3127936		-15.42537067		0.000156856		mm
	WC_wire0_phys75_pos		-98.31263572		-8.601241107		0.000155006		mm
